Leitor — texto no cartao
O app.bin e pequeno; este arquivo fica em data/.

00001 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00002 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00003 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00004 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00005 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00006 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00007 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00008 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00009 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00010 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00011 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00012 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00013 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00014 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
